model_name,variant,candidate_id,feature_set,features,cv_mean,cv_std,oof_accuracy,oof_accuracy_delta_vs_raw_tabular,oof_changed_rows,oof_changed_pct,oof_0_to_1,oof_1_to_0,rescue,kill,net,pred_1_count,pred_1_rate,pred_1_rate_delta_vs_raw_tabular,test_changed_rows_vs_raw_tabular_full_fit,test_changed_pct_vs_raw_tabular_full_fit,test_0_to_1,test_1_to_0,test_pred_1_count,test_pred_1_rate,test_pred_1_rate_delta_vs_raw_tabular,train_survival_rate,prediction_rate_sanity_flag,final_status
GradientBoostingClassifier,raw_tabular,raw_tabular__GradientBoostingClassifier,raw_tabular,"Sex, Pclass, Embarked, Age, SibSp, Parch, Fare",0.825701,0.021513,0.82716,0.0,0,0.0,0,0,0,0,0,294,0.329966,0.0,0,0.0,0,0,141,0.337321,0.0,0.383838,OK,
GradientBoostingClassifier,raw_family_surname_size_band,raw_family_surname_size_band__GradientBoostingClassifier,raw_family_surname_size_band,"Sex, Pclass, Embarked, Age, Fare, FamilySurnameSizeBand",0.823119,0.025799,0.820426,-0.006734,28,3.142536,16,12,11,17,-6,298,0.334456,0.004489,20,4.784689,10,10,141,0.337321,0.0,0.383838,OK,REJECTED_TRAIN_SIDE
