model_name,variant,candidate_id,feature_set,features,cv_mean,cv_std,oof_accuracy,oof_accuracy_delta_vs_raw_tabular,oof_changed_rows,oof_changed_pct,rescue,kill,net,pred_1_count,pred_1_rate,pred_1_rate_delta_vs_raw_tabular,test_changed_rows_vs_raw_tabular_full_fit,test_changed_pct_vs_raw_tabular_full_fit,test_pred_1_count,test_pred_1_rate,test_pred_1_rate_delta_vs_current_leader,train_survival_rate,current_leader_pred_1_rate,calibration_sanity_flag,status,submission_file,submission_status
GradientBoostingClassifier,raw_tabular,raw_tabular__GradientBoostingClassifier,raw_tabular,"Sex, Pclass, Embarked, Age, SibSp, Parch, Fare",0.825701,0.021513,0.82716,0.0,0,0.0,0,0,0,294,0.329966,0.0,0,0.0,141,0.337321,0.0,0.383838,0.337321,OK,BASELINE_REFERENCE,submissions/submission_05_baseline_raw_tabular_gradient_boosting.csv,existing leader reference
GradientBoostingClassifier,raw_plus_cabinknown,raw_plus_cabinknown__GradientBoostingClassifier,raw_plus_cabinknown,"Sex, Pclass, Embarked, Age, SibSp, Parch, Fare, CabinKnown",0.82424,0.021119,0.839506,0.012346,31,3.479237,21,10,11,297,0.333333,0.003367,19,4.545455,138,0.330144,-0.007177,0.383838,0.337321,OK,KEEP_CANDIDATE,submissions/submission_16a_gb_raw_plus_cabinknown.csv,generated
