status,feature_set,model,preprocessing_mode,cv_mean,cv_std,cv_min,cv_max,fold_scores,error
ok,f00_core,SVC,scaled_linear,0.811456,0.022473,0.758427,0.865169,"[0.815642, 0.797753, 0.786517, 0.837079, 0.820225, 0.798883, 0.842697, 0.786517, 0.808989, 0.820225, 0.821229, 0.825843, 0.825843, 0.808989, 0.775281, 0.821229, 0.786517, 0.814607, 0.792135, 0.842697, 0.815642, 0.808989, 0.837079, 0.803371, 0.792135, 0.815642, 0.820225, 0.831461, 0.792135, 0.797753, 0.776536, 0.803371, 0.803371, 0.865169, 0.808989, 0.787709, 0.825843, 0.853933, 0.814607, 0.775281, 0.798883, 0.848315, 0.803371, 0.803371, 0.803371, 0.793296, 0.842697, 0.758427, 0.853933, 0.808989]",
ok,f00_core,GradientBoostingClassifier,unscaled_tree,0.811343,0.022611,0.758427,0.865169,"[0.815642, 0.797753, 0.786517, 0.837079, 0.820225, 0.798883, 0.842697, 0.786517, 0.808989, 0.820225, 0.821229, 0.825843, 0.825843, 0.808989, 0.775281, 0.821229, 0.780899, 0.814607, 0.792135, 0.842697, 0.815642, 0.808989, 0.837079, 0.803371, 0.792135, 0.815642, 0.820225, 0.831461, 0.792135, 0.797753, 0.776536, 0.803371, 0.803371, 0.865169, 0.808989, 0.787709, 0.825843, 0.853933, 0.814607, 0.775281, 0.798883, 0.848315, 0.803371, 0.803371, 0.803371, 0.793296, 0.842697, 0.758427, 0.853933, 0.808989]",
ok,f00_core,CatBoostClassifier,unscaled_tree,0.811456,0.022473,0.758427,0.865169,"[0.815642, 0.797753, 0.786517, 0.837079, 0.820225, 0.798883, 0.842697, 0.786517, 0.808989, 0.820225, 0.821229, 0.825843, 0.825843, 0.808989, 0.775281, 0.821229, 0.786517, 0.814607, 0.792135, 0.842697, 0.815642, 0.808989, 0.837079, 0.803371, 0.792135, 0.815642, 0.820225, 0.831461, 0.792135, 0.797753, 0.776536, 0.803371, 0.803371, 0.865169, 0.808989, 0.787709, 0.825843, 0.853933, 0.814607, 0.775281, 0.798883, 0.848315, 0.803371, 0.803371, 0.803371, 0.793296, 0.842697, 0.758427, 0.853933, 0.808989]",
ok,f00_core_plus_title,SVC,scaled_linear,0.820984,0.022039,0.758427,0.865169,"[0.821229, 0.820225, 0.808989, 0.825843, 0.825843, 0.815642, 0.831461, 0.808989, 0.825843, 0.837079, 0.849162, 0.837079, 0.842697, 0.814607, 0.792135, 0.837989, 0.797753, 0.837079, 0.786517, 0.853933, 0.821229, 0.792135, 0.848315, 0.837079, 0.786517, 0.832402, 0.837079, 0.814607, 0.808989, 0.814607, 0.804469, 0.808989, 0.820225, 0.865169, 0.837079, 0.804469, 0.837079, 0.842697, 0.808989, 0.792135, 0.832402, 0.831461, 0.814607, 0.808989, 0.780899, 0.821229, 0.865169, 0.758427, 0.853933, 0.797753]",
ok,f00_core_plus_title,GradientBoostingClassifier,unscaled_tree,0.821546,0.022618,0.758427,0.870787,"[0.804469, 0.820225, 0.808989, 0.825843, 0.820225, 0.815642, 0.848315, 0.808989, 0.825843, 0.837079, 0.849162, 0.814607, 0.842697, 0.814607, 0.792135, 0.837989, 0.814607, 0.837079, 0.786517, 0.853933, 0.837989, 0.786517, 0.848315, 0.837079, 0.792135, 0.832402, 0.837079, 0.814607, 0.814607, 0.814607, 0.804469, 0.808989, 0.820225, 0.865169, 0.814607, 0.804469, 0.837079, 0.842697, 0.842697, 0.792135, 0.832402, 0.825843, 0.814607, 0.808989, 0.780899, 0.821229, 0.870787, 0.758427, 0.859551, 0.797753]",
ok,f00_core_plus_title,CatBoostClassifier,unscaled_tree,0.821433,0.022191,0.764045,0.870787,"[0.804469, 0.820225, 0.808989, 0.825843, 0.825843, 0.815642, 0.831461, 0.808989, 0.831461, 0.837079, 0.854749, 0.814607, 0.842697, 0.814607, 0.792135, 0.837989, 0.797753, 0.837079, 0.786517, 0.853933, 0.837989, 0.792135, 0.848315, 0.837079, 0.786517, 0.832402, 0.837079, 0.814607, 0.814607, 0.814607, 0.804469, 0.808989, 0.820225, 0.865169, 0.814607, 0.804469, 0.837079, 0.842697, 0.825843, 0.792135, 0.832402, 0.837079, 0.814607, 0.808989, 0.780899, 0.821229, 0.870787, 0.764045, 0.859551, 0.808989]",
ok,raw_tabular,SVC,scaled_linear,0.821549,0.024288,0.769663,0.876404,"[0.849162, 0.808989, 0.792135, 0.831461, 0.825843, 0.832402, 0.814607, 0.792135, 0.820225, 0.848315, 0.826816, 0.814607, 0.842697, 0.797753, 0.797753, 0.826816, 0.769663, 0.831461, 0.797753, 0.876404, 0.821229, 0.797753, 0.859551, 0.831461, 0.797753, 0.843575, 0.814607, 0.831461, 0.837079, 0.797753, 0.793296, 0.814607, 0.814607, 0.876404, 0.814607, 0.804469, 0.831461, 0.837079, 0.825843, 0.797753, 0.810056, 0.859551, 0.803371, 0.814607, 0.825843, 0.804469, 0.842697, 0.769663, 0.876404, 0.831461]",
ok,raw_tabular,GradientBoostingClassifier,unscaled_tree,0.825701,0.021513,0.786517,0.865922,"[0.826816, 0.859551, 0.808989, 0.803371, 0.837079, 0.826816, 0.837079, 0.820225, 0.837079, 0.831461, 0.860335, 0.814607, 0.853933, 0.814607, 0.808989, 0.837989, 0.797753, 0.831461, 0.797753, 0.859551, 0.804469, 0.808989, 0.842697, 0.842697, 0.797753, 0.865922, 0.814607, 0.825843, 0.831461, 0.808989, 0.810056, 0.820225, 0.825843, 0.859551, 0.808989, 0.821229, 0.831461, 0.853933, 0.831461, 0.803371, 0.793296, 0.853933, 0.786517, 0.792135, 0.842697, 0.815642, 0.859551, 0.786517, 0.848315, 0.831461]",
ok,raw_tabular,CatBoostClassifier,unscaled_tree,0.828402,0.02515,0.769663,0.88764,"[0.849162, 0.848315, 0.803371, 0.825843, 0.848315, 0.810056, 0.842697, 0.797753, 0.820225, 0.842697, 0.821229, 0.797753, 0.853933, 0.831461, 0.820225, 0.821229, 0.769663, 0.842697, 0.797753, 0.88764, 0.798883, 0.814607, 0.870787, 0.831461, 0.825843, 0.871508, 0.820225, 0.842697, 0.825843, 0.814607, 0.798883, 0.786517, 0.825843, 0.882022, 0.848315, 0.815642, 0.842697, 0.831461, 0.831461, 0.803371, 0.804469, 0.865169, 0.808989, 0.820225, 0.842697, 0.826816, 0.853933, 0.786517, 0.859551, 0.837079]",
ok,raw_plus_title,SVC,scaled_linear,0.828619,0.022659,0.780899,0.882022,"[0.843575, 0.820225, 0.814607, 0.842697, 0.865169, 0.837989, 0.825843, 0.797753, 0.814607, 0.848315, 0.832402, 0.814607, 0.848315, 0.814607, 0.803371, 0.837989, 0.780899, 0.837079, 0.803371, 0.870787, 0.821229, 0.803371, 0.865169, 0.831461, 0.814607, 0.865922, 0.820225, 0.837079, 0.820225, 0.814607, 0.810056, 0.808989, 0.837079, 0.882022, 0.814607, 0.810056, 0.859551, 0.842697, 0.842697, 0.803371, 0.821229, 0.853933, 0.803371, 0.820225, 0.831461, 0.810056, 0.853933, 0.780899, 0.853933, 0.842697]",
