status,feature_set,model,preprocessing_mode,cv_mean,cv_std,cv_min,cv_max,fold_scores,error
ok,f00_core,DummyClassifier,unscaled_tree,0.616163,0.002325,0.61236,0.617978,"[0.614525, 0.617978, 0.617978, 0.617978, 0.61236, 0.614525, 0.617978, 0.617978, 0.617978, 0.61236, 0.614525, 0.617978, 0.617978, 0.617978, 0.61236, 0.614525, 0.617978, 0.617978, 0.617978, 0.61236, 0.614525, 0.617978, 0.617978, 0.617978, 0.61236, 0.614525, 0.617978, 0.617978, 0.617978, 0.61236, 0.614525, 0.617978, 0.617978, 0.617978, 0.61236, 0.614525, 0.617978, 0.617978, 0.617978, 0.61236, 0.614525, 0.617978, 0.617978, 0.617978, 0.61236, 0.614525, 0.617978, 0.617978, 0.617978, 0.61236]",
ok,f00_core,LogisticRegression,scaled_linear,0.775883,0.027787,0.702247,0.837079,"[0.765363, 0.775281, 0.786517, 0.764045, 0.797753, 0.765363, 0.786517, 0.735955, 0.780899, 0.803371, 0.787709, 0.764045, 0.808989, 0.752809, 0.747191, 0.782123, 0.724719, 0.775281, 0.758427, 0.837079, 0.743017, 0.758427, 0.803371, 0.764045, 0.820225, 0.776536, 0.797753, 0.780899, 0.769663, 0.775281, 0.715084, 0.775281, 0.775281, 0.808989, 0.792135, 0.765363, 0.808989, 0.758427, 0.780899, 0.752809, 0.765363, 0.831461, 0.730337, 0.786517, 0.764045, 0.776536, 0.792135, 0.702247, 0.808989, 0.814607]",
ok,f00_core,GaussianNB,unscaled_tree,0.77195,0.028511,0.696629,0.831461,"[0.759777, 0.769663, 0.769663, 0.764045, 0.786517, 0.765363, 0.792135, 0.735955, 0.792135, 0.780899, 0.793296, 0.735955, 0.803371, 0.747191, 0.769663, 0.798883, 0.707865, 0.769663, 0.741573, 0.831461, 0.731844, 0.752809, 0.792135, 0.775281, 0.814607, 0.765363, 0.797753, 0.775281, 0.764045, 0.769663, 0.743017, 0.775281, 0.764045, 0.797753, 0.786517, 0.759777, 0.820225, 0.741573, 0.780899, 0.747191, 0.77095, 0.820225, 0.719101, 0.786517, 0.764045, 0.759777, 0.792135, 0.696629, 0.803371, 0.814607]",
ok,f00_core,KNeighborsClassifier,scaled_linear,0.783508,0.035115,0.696629,0.848315,"[0.73743, 0.724719, 0.786517, 0.837079, 0.820225, 0.798883, 0.764045, 0.724719, 0.775281, 0.814607, 0.821229, 0.758427, 0.780899, 0.713483, 0.775281, 0.782123, 0.786517, 0.808989, 0.792135, 0.814607, 0.815642, 0.764045, 0.837079, 0.719101, 0.797753, 0.798883, 0.820225, 0.775281, 0.769663, 0.780899, 0.715084, 0.780899, 0.803371, 0.848315, 0.775281, 0.759777, 0.808989, 0.780899, 0.792135, 0.752809, 0.759777, 0.848315, 0.696629, 0.803371, 0.786517, 0.787709, 0.797753, 0.758427, 0.831461, 0.792135]",
ok,f00_core,LinearSVC,scaled_linear,0.785983,0.030218,0.707865,0.853933,"[0.787709, 0.775281, 0.786517, 0.764045, 0.820225, 0.793296, 0.786517, 0.758427, 0.780899, 0.814607, 0.804469, 0.786517, 0.820225, 0.775281, 0.747191, 0.782123, 0.724719, 0.808989, 0.780899, 0.837079, 0.759777, 0.764045, 0.803371, 0.780899, 0.825843, 0.798883, 0.808989, 0.780899, 0.769663, 0.775281, 0.715084, 0.780899, 0.797753, 0.808989, 0.792135, 0.765363, 0.853933, 0.780899, 0.780899, 0.752809, 0.765363, 0.831461, 0.730337, 0.808989, 0.797753, 0.776536, 0.797753, 0.707865, 0.837079, 0.814607]",
ok,f00_core,SVC,scaled_linear,0.811456,0.022473,0.758427,0.865169,"[0.815642, 0.797753, 0.786517, 0.837079, 0.820225, 0.798883, 0.842697, 0.786517, 0.808989, 0.820225, 0.821229, 0.825843, 0.825843, 0.808989, 0.775281, 0.821229, 0.786517, 0.814607, 0.792135, 0.842697, 0.815642, 0.808989, 0.837079, 0.803371, 0.792135, 0.815642, 0.820225, 0.831461, 0.792135, 0.797753, 0.776536, 0.803371, 0.803371, 0.865169, 0.808989, 0.787709, 0.825843, 0.853933, 0.814607, 0.775281, 0.798883, 0.848315, 0.803371, 0.803371, 0.803371, 0.793296, 0.842697, 0.758427, 0.853933, 0.808989]",
ok,f00_core,DecisionTreeClassifier,unscaled_tree,0.811456,0.022473,0.758427,0.865169,"[0.815642, 0.797753, 0.786517, 0.837079, 0.820225, 0.798883, 0.842697, 0.786517, 0.808989, 0.820225, 0.821229, 0.825843, 0.825843, 0.808989, 0.775281, 0.821229, 0.786517, 0.814607, 0.792135, 0.842697, 0.815642, 0.808989, 0.837079, 0.803371, 0.792135, 0.815642, 0.820225, 0.831461, 0.792135, 0.797753, 0.776536, 0.803371, 0.803371, 0.865169, 0.808989, 0.787709, 0.825843, 0.853933, 0.814607, 0.775281, 0.798883, 0.848315, 0.803371, 0.803371, 0.803371, 0.793296, 0.842697, 0.758427, 0.853933, 0.808989]",
ok,f00_core,RandomForestClassifier,unscaled_tree,0.811456,0.022473,0.758427,0.865169,"[0.815642, 0.797753, 0.786517, 0.837079, 0.820225, 0.798883, 0.842697, 0.786517, 0.808989, 0.820225, 0.821229, 0.825843, 0.825843, 0.808989, 0.775281, 0.821229, 0.786517, 0.814607, 0.792135, 0.842697, 0.815642, 0.808989, 0.837079, 0.803371, 0.792135, 0.815642, 0.820225, 0.831461, 0.792135, 0.797753, 0.776536, 0.803371, 0.803371, 0.865169, 0.808989, 0.787709, 0.825843, 0.853933, 0.814607, 0.775281, 0.798883, 0.848315, 0.803371, 0.803371, 0.803371, 0.793296, 0.842697, 0.758427, 0.853933, 0.808989]",
ok,f00_core,ExtraTreesClassifier,unscaled_tree,0.811456,0.022473,0.758427,0.865169,"[0.815642, 0.797753, 0.786517, 0.837079, 0.820225, 0.798883, 0.842697, 0.786517, 0.808989, 0.820225, 0.821229, 0.825843, 0.825843, 0.808989, 0.775281, 0.821229, 0.786517, 0.814607, 0.792135, 0.842697, 0.815642, 0.808989, 0.837079, 0.803371, 0.792135, 0.815642, 0.820225, 0.831461, 0.792135, 0.797753, 0.776536, 0.803371, 0.803371, 0.865169, 0.808989, 0.787709, 0.825843, 0.853933, 0.814607, 0.775281, 0.798883, 0.848315, 0.803371, 0.803371, 0.803371, 0.793296, 0.842697, 0.758427, 0.853933, 0.808989]",
ok,f00_core,AdaBoostClassifier,unscaled_tree,0.77622,0.029228,0.702247,0.837079,"[0.765363, 0.775281, 0.786517, 0.764045, 0.797753, 0.765363, 0.786517, 0.735955, 0.792135, 0.803371, 0.787709, 0.764045, 0.808989, 0.752809, 0.747191, 0.782123, 0.713483, 0.775281, 0.758427, 0.837079, 0.743017, 0.752809, 0.803371, 0.764045, 0.820225, 0.776536, 0.797753, 0.780899, 0.764045, 0.769663, 0.715084, 0.775281, 0.775281, 0.808989, 0.792135, 0.759777, 0.837079, 0.758427, 0.780899, 0.752809, 0.77095, 0.831461, 0.735955, 0.786517, 0.764045, 0.776536, 0.792135, 0.702247, 0.808989, 0.814607]",
